,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,current_fungi_name,common_name,foray_date,foray_location,month,year,day,genus,species,edibility,foray_zip_code
76,76,76,76,76,Auricularia auricula-judae,Jelly ear,2003-04-26,Lay Field Station,4,2003,26,Auricularia,auricula-judae,4,
77,77,77,77,77,Coprinopsis atramentaria,,2003-04-26,Lay Field Station,4,2003,26,Coprinopsis,atramentaria,0,
78,78,78,78,78,Coprinellus micaceus,,2003-04-26,Lay Field Station,4,2003,26,Coprinellus,micaceus,3,
79,79,79,79,79,Polyporus alveolaris,,2003-04-26,Lay Field Station,4,2003,26,Polyporus,alveolaris,3,
80,80,80,80,80,Ganoderma lucidum,,2003-04-26,Lay Field Station,4,2003,26,Ganoderma,lucidum,4,
81,81,81,81,81,Gyromitra fastigiata,,2003-04-26,Lay Field Station,4,2003,26,Gyromitra,fastigiata,2,
82,82,82,82,82,Hapalopilus nidulans,,2003-04-26,Lay Field Station,4,2003,26,Hapalopilus,nidulans,1,
83,83,83,83,83,Lentinus tigrinus,Tiger sawgill ,2003-04-26,Lay Field Station,4,2003,26,Lentinus,tigrinus,3,
84,84,84,84,84,Morchella angusticeps,,2003-04-26,Lay Field Station,4,2003,26,Morchella,angusticeps,3,
85,85,85,85,85,Morchella esculenta,,2003-04-26,Lay Field Station,4,2003,26,Morchella,esculenta,3,
86,86,86,86,86,Mitrophora semilibera,,2003-04-26,Lay Field Station,4,2003,26,Mitrophora,semilibera,3,
87,87,87,87,87,Auricularia auricula-judae,Jelly ear,2003-07-19,Meramec State Park,7,2003,19,Auricularia,auricula-judae,4,63038
88,88,88,88,88,Cantharellus cibarius,Chanterelle ,2003-07-19,Meramec State Park,7,2003,19,Cantharellus,cibarius,3,63038
89,89,89,89,89,Cantharellus cinnabarinus,Cinnabar chanterelle ,2003-07-19,Meramec State Park,7,2003,19,Cantharellus,cinnabarinus,3,63038
90,90,90,90,90,Cantharellus lateritius,Smooth Chanterelle ,2003-07-19,Meramec State Park,7,2003,19,Cantharellus,lateritius,3,63038
91,91,91,91,91,Artomyces pyxidatus,Crown-tipped Coral ,2003-07-19,Meramec State Park,7,2003,19,Artomyces,pyxidatus,3,63038
92,92,92,92,92,Coltricia perennis,,2003-07-19,Meramec State Park,7,2003,19,Coltricia,perennis,0,63038
93,93,93,93,93,Dacrymyces palmatus,,2003-07-19,Meramec State Park,7,2003,19,Dacrymyces,palmatus,3,63038
94,94,94,94,94,Amanita arkansana,Arkansas Slender Caesar,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Amanita,arkansana,0,63960
95,95,95,95,95,Trametes versicolor,Turkeytail ,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Trametes,versicolor,4,63960
96,96,96,96,96,Mycorrhaphium adustum,Kidney-shaped Tooth ,2010-09-24,Mingo National Wildlife Refuge,9,2010,24,Mycorrhaphium,adustum,2,63960
97,97,97,97,97,Ceratiomyxa fruticulosa,Honeycomb Coral Slime Mold ,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Ceratiomyxa,fruticulosa,2,63960
98,98,98,98,98,Ganoderma lucidum,,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Ganoderma,lucidum,4,63960
99,99,99,99,99,Lycoperdon pyriforme,Pear-shaped Puffball ,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Lycoperdon,pyriforme,3,63960
100,100,100,100,100,Mycena leaiana,,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Mycena,leaiana,0,63960
101,101,101,101,101,Pluteus aurantiorugosus,,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Pluteus,aurantiorugosus,0,63960
102,102,102,102,102,Amanita abrupta,American Abrupt-Bulbed Lepidella,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Amanita,abrupta,2,63960
103,103,103,103,103,Amanita ravenelii,Ravenel's Lepidella,2010-09-24,University of Missouri Forestry Camp,9,2010,24,Amanita,ravenelii,0,63901
104,104,104,104,104,Amanita rubescens,Eurasian Blusher,2010-09-24,Coldwater Conservation Area,9,2010,24,Amanita,rubescens,3,63964
105,105,105,105,105,Amanita rubescens,Eurasian Blusher,2010-09-24,Camp Latonka,9,2010,24,Amanita,rubescens,3,63966
106,106,106,106,106,Amanita rubescens,Eurasian Blusher,2010-09-24,Mingo National Wildlife Refuge,9,2010,24,Amanita,rubescens,3,63960
107,107,107,107,107,Amanita flavoconia,Yellow Patches,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Amanita,flavoconia,0,63960
108,108,108,108,108,Amanita flavoconia,Yellow Patches,2010-09-24,Lake Wappapello State Park,9,2010,24,Amanita,flavoconia,0,63967
109,109,109,109,109,Amanita vaginata,,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Amanita,vaginata,3,63960
110,110,110,110,110,Amanita vaginata,,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Amanita,vaginata,3,63960
111,111,111,111,111,Amanita gemmata,Jewelled Amanita,2010-09-24,Coldwater Conservation Area,9,2010,24,Amanita,gemmata,1,63964
112,112,112,112,112,Amanita bisporigera,Eastern North American Destroying Angel,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Amanita,bisporigera,1,63960
113,113,113,113,113,Amanita bisporigera,Eastern North American Destroying Angel,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Amanita,bisporigera,1,63960
