,current_fungi_name,common_name,foray_date,foray_location,month,year,day,genus,species
5355,Parasolus plicatilis,,2010-07-17,Meramec State Park,7,2010,17,Parasolus,plicatilis
5356,Pluteus atricapillus,,2010-07-17,Meramec State Park,7,2010,17,Pluteus,atricapillus
5357,Pluteus longistriatus,Pleated Pluteus ,2010-07-17,Meramec State Park,7,2010,17,Pluteus,longistriatus
5358,Pluteus petasatus,Scaly shield ,2010-07-17,Meramec State Park,7,2010,17,Pluteus,petasatus
5359,Tricholomopsis rutilans,Plums and custard ,2010-07-17,Meramec State Park,7,2010,17,Tricholomopsis,rutilans
5360,Volvariella pusilla,,2010-07-17,Meramec State Park,7,2010,17,Volvariella,pusilla
5361,Xeromphalina campanella,Fuzzy Foot ,2010-07-17,Meramec State Park,7,2010,17,Xeromphalina,campanella
5362,Xerula incognita,,2010-07-17,Meramec State Park,7,2010,17,Xerula,incognita
5363,Boletus campestris,,2010-07-17,Meramec State Park,7,2010,17,Boletus,campestris
5364,Boletus curtisii,,2010-07-17,Meramec State Park,7,2010,17,Boletus,curtisii
5365,Strobilomyces confusus,,2010-07-17,Meramec State Park,7,2010,17,Strobilomyces,confusus
5366,Tylopilus ferrugineus,Rusty bolete ,2010-07-17,Meramec State Park,7,2010,17,Tylopilus,ferrugineus
5367,Porphyrellus sordidus,,2010-07-17,Meramec State Park,7,2010,17,Porphyrellus,sordidus
5368,Gleoporus dichrous,,2010-07-17,Meramec State Park,7,2010,17,Gleoporus,dichrous
5369,Laetiporus sulphureus,Chicken of the woods ,2010-07-17,Meramec State Park,7,2010,17,Laetiporus,sulphureus
5370,Mycorrhaphium adustum,Kidney-shaped Tooth ,2010-07-17,Meramec State Park,7,2010,17,Mycorrhaphium,adustum
5371,Phellinus gilvus,Mustard Yellow Polypore ,2010-07-17,Meramec State Park,7,2010,17,Phellinus,gilvus
5372,Polyporus alveolaris,,2010-07-17,Meramec State Park,7,2010,17,Polyporus,alveolaris
5373,Schizophyllum commune,Common Split Gill ,2010-07-17,Meramec State Park,7,2010,17,Schizophyllum,commune
5374,Stereum ostrea,False turkeytail ,2010-07-17,Meramec State Park,7,2010,17,Stereum,ostrea
5375,Septobasidium rameale,,2010-07-17,Meramec State Park,7,2010,17,Septobasidium,rameale
5376,Lenzites elegans,,2010-07-17,Meramec State Park,7,2010,17,Lenzites,elegans
5377,Trametes versicolor,Turkeytail ,2010-07-17,Meramec State Park,7,2010,17,Trametes,versicolor
5378,Trichaptum biforme,Violet Toothed Polypore ,2010-07-17,Meramec State Park,7,2010,17,Trichaptum,biforme
5379,Auricularia auricula-judae,Jelly ear,2010-07-17,Meramec State Park,7,2010,17,Auricularia,auricula-judae
5380,Ductifera pululahuana,,2010-07-17,Meramec State Park,7,2010,17,Ductifera,pululahuana
5381,Sebacina pallida,,2010-07-17,Meramec State Park,7,2010,17,Sebacina,pallida
5382,Ceratiomyxa fruticulosa,Honeycomb Coral Slime Mold ,2010-07-17,Meramec State Park,7,2010,17,Ceratiomyxa,fruticulosa
5383,Fuligo septica,Dog Vomit Slime Mold ,2010-07-17,Meramec State Park,7,2010,17,Fuligo,septica
5384,Lycogala epidendrum,Wolf's Milk ,2010-07-17,Meramec State Park,7,2010,17,Lycogala,epidendrum
5385,Cantharellus cibarius,Chanterelle ,2010-07-17,Meramec State Park,7,2010,17,Cantharellus,cibarius
5386,Cantharellus cinnabarinus,Cinnabar chanterelle ,2010-07-17,Meramec State Park,7,2010,17,Cantharellus,cinnabarinus
5387,Cantharellus lateritius,Smooth Chanterelle ,2010-07-17,Meramec State Park,7,2010,17,Cantharellus,lateritius
5388,Sarcoscypha occidentalis,Stalked Scarlet Cup ,2010-07-17,Meramec State Park,7,2010,17,Sarcoscypha,occidentalis
5389,Morchella deliciosa,,2009-04-12,Washington State Park,4,2009,12,Morchella,deliciosa
5390,Morchella esculenta,,2009-04-12,Washington State Park,4,2009,12,Morchella,esculenta
5391,Mitrophora semilibera,,2009-04-12,Washington State Park,4,2009,12,Mitrophora,semilibera
5392,Auricularia auricula-judae,Jelly ear,2009-04-12,Washington State Park,4,2009,12,Auricularia,auricula-judae
5393,Pluteus atricapillus,,2009-04-12,Washington State Park,4,2009,12,Pluteus,atricapillus
5394,Polyporus squamosus,,2009-04-12,Washington State Park,4,2009,12,Polyporus,squamosus
5395,Polyporus varius,,2009-04-12,Washington State Park,4,2009,12,Polyporus,varius
5396,Trametes versicolor,Turkeytail ,2009-04-12,Washington State Park,4,2009,12,Trametes,versicolor
5397,Stereum ostrea,False turkeytail ,2009-04-12,Washington State Park,4,2009,12,Stereum,ostrea
5398,Urnula craterium,Devil's urn ,2009-04-12,Washington State Park,4,2009,12,Urnula,craterium
5399,Flammulina velutipes,,2009-04-12,Washington State Park,4,2009,12,Flammulina,velutipes
5400,Ganoderma lipsiense,,2009-04-12,Washington State Park,4,2009,12,Ganoderma,lipsiense
5401,Galerina marginata,,2009-04-12,Washington State Park,4,2009,12,Galerina,marginata
5402,Morchella esculenta,,2011-04-16,Pere Marquette State Park,4,2011,16,Morchella,esculenta
5403,Morchella elata,,2011-04-16,Pere Marquette State Park,4,2011,16,Morchella,elata
5404,Coprinellus micaceus,,2011-04-16,Pere Marquette State Park,4,2011,16,Coprinellus,micaceus
5405,Polyporus squamosus,,2011-04-16,Pere Marquette State Park,4,2011,16,Polyporus,squamosus
5406,Laetiporus sulphureus,Chicken of the woods ,2011-04-16,Pere Marquette State Park,4,2011,16,Laetiporus,sulphureus
5407,Boletus bicolor,,2011-06-08,Forest 44 Conservation Area,6,2011,8,Boletus,bicolor
5408,Pycnoporus cinnabarinus,,2011-06-08,Forest 44 Conservation Area,6,2011,8,Pycnoporus,cinnabarinus
5409,Pluteus atricapillus,,2011-06-08,Forest 44 Conservation Area,6,2011,8,Pluteus,atricapillus
5410,Sarcoscypha occidentalis,Stalked Scarlet Cup ,2011-06-08,Forest 44 Conservation Area,6,2011,8,Sarcoscypha,occidentalis
5411,Xylaria polymorpha,Dead man's fingers ,2011-06-08,Forest 44 Conservation Area,6,2011,8,Xylaria,polymorpha
5412,Cantharellus cibarius,Chanterelle ,2011-06-08,Forest 44 Conservation Area,6,2011,8,Cantharellus,cibarius
5413,Auricularia auricula-judae,Jelly ear,2011-06-08,Forest 44 Conservation Area,6,2011,8,Auricularia,auricula-judae
5414,Trametes versicolor,Turkeytail ,2011-06-08,Forest 44 Conservation Area,6,2011,8,Trametes,versicolor
5415,Stereum ostrea,False turkeytail ,2011-06-08,Forest 44 Conservation Area,6,2011,8,Stereum,ostrea
5416,Trichaptum biforme,Violet Toothed Polypore ,2011-06-08,Forest 44 Conservation Area,6,2011,8,Trichaptum,biforme
5417,Fuligo septica,Dog Vomit Slime Mold ,2011-06-08,Forest 44 Conservation Area,6,2011,8,Fuligo,septica
5418,Polyporus alveolaris,,2011-06-08,Forest 44 Conservation Area,6,2011,8,Polyporus,alveolaris
5419,Amanita ocreata,Western American Destroying Angel,2011-06-08,Forest 44 Conservation Area,6,2011,8,Amanita,ocreata
5420,Ganoderma lipsiense,,2011-06-08,Forest 44 Conservation Area,6,2011,8,Ganoderma,lipsiense
5421,Xylaria polymorpha,Dead man's fingers ,2011-05-15,Castlewood State Park,5,2011,15,Xylaria,polymorpha
5422,Pleurotus dryinus,,2011-05-15,Castlewood State Park,5,2011,15,Pleurotus,dryinus
5423,Hericium erinaceus,Bearded tooth ,2011-05-15,Castlewood State Park,5,2011,15,Hericium,erinaceus
5424,Auricularia auricula-judae,Jelly ear,2011-05-15,Castlewood State Park,5,2011,15,Auricularia,auricula-judae
5425,Laetiporus sulphureus,Chicken of the woods ,2011-05-15,Castlewood State Park,5,2011,15,Laetiporus,sulphureus
5426,Coprinellus micaceus,,2011-05-15,Castlewood State Park,5,2011,15,Coprinellus,micaceus
5427,Schizophyllum commune,Common Split Gill ,2011-05-15,Castlewood State Park,5,2011,15,Schizophyllum,commune
5428,Megacollybia platyphylla,,2011-05-15,Castlewood State Park,5,2011,15,Megacollybia,platyphylla
5429,Pleteus atricapillus,,2011-05-15,Castlewood State Park,5,2011,15,Pleteus,atricapillus
5430,Mycena leaiana,,2011-05-15,Castlewood State Park,5,2011,15,Mycena,leaiana
